Unit,Role,Composer,Piece,Duration Guidance,YouTube URL
00-medieval,featured,Anonymous (plainchant),Ave Maris Stella,Full hymn (3–4 min),https://www.youtube.com/watch?v=sdJ55DPsWhI&list=RDsdJ55DPsWhI&start_radio=1
00-medieval,gallery,Anonymous (Gregorian chant),Dies Irae,Opening verses (2–3 min),https://www.youtube.com/watch?v=h3FED3omlDA&list=RDh3FED3omlDA&start_radio=1
00-medieval,gallery,Pérotin,Viderunt Omnes,First 3–4 minutes,https://www.youtube.com/watch?v=Q2JvIyStzNA&list=RDQ2JvIyStzNA&start_radio=1
01-renaissance,featured,Palestrina,Sicut Cervus,Full piece (4 min),https://www.youtube.com/watch?v=0yd5EE0hAB8&list=RD0yd5EE0hAB8&start_radio=1
01-renaissance,gallery,Josquin des Prez,Ave Maria...virgo serena,Full piece or first 2 min,https://www.youtube.com/watch?v=s-pVbpV4yuk&list=RDs-pVbpV4yuk&start_radio=1
01-renaissance,gallery,Thomas Tallis,Spem in Alium,First 3 minutes,https://www.youtube.com/watch?v=CkL1hdL40i0&list=RDCkL1hdL40i0&start_radio=1
02-baroque,featured,J.S. Bach,Toccata and Fugue in D Minor BWV 565,First 3–4 minutes,https://www.youtube.com/watch?v=HL0drraRHJ0&list=RDHL0drraRHJ0&start_radio=1
02-baroque,gallery,Handel,Messiah: Hallelujah Chorus,Full chorus (4 min),https://www.youtube.com/watch?v=usfiAsWR4qU&list=RDusfiAsWR4qU&start_radio=1
02-baroque,gallery,Vivaldi,The Four Seasons: Winter I,First movement (3.5 min),https://www.youtube.com/watch?v=tJAQI7PVofQ&list=RDtJAQI7PVofQ&start_radio=1
02-baroque,gallery,Purcell,Dido's Lament,Full piece (4 min),https://www.youtube.com/watch?v=uGQq3HcOB0Y&list=RDuGQq3HcOB0Y&start_radio=1
03-enlightenment,featured,Mozart,Eine kleine Nachtmusik K.525 I,First movement (6 min),https://www.youtube.com/watch?v=UhPBT0dA_oA&list=RDUhPBT0dA_oA&start_radio=1
03-enlightenment,gallery,Mozart,Piano Concerto No. 21 K.467 II (Andante),Full movement or first 3 min,https://www.youtube.com/watch?v=5Y4Fkxg7WcA&list=RD5Y4Fkxg7WcA&start_radio=1
03-enlightenment,gallery,Haydn,Symphony No. 94 (Surprise) II (Andante),Second movement (6 min),https://www.youtube.com/watch?v=lLjwkamp3lI
03-enlightenment,gallery,Mozart,"Don Giovanni, Overture",Full piece (6 min),https://www.youtube.com/watch?v=G1YS61pu8Rc&list=RDG1YS61pu8Rc&start_radio=1
04-romanticism,featured,Beethoven,Symphony No. 5 Op.67 I,First movement (7 min),https://www.youtube.com/watch?v=7eOaIiHB58U&list=RD7eOaIiHB58U&start_radio=1
04-romanticism,gallery,Wagner,Prelude to Tristan und Isolde,First 4–5 minutes,https://www.youtube.com/watch?v=IaZZVRd_WeU&list=RDIaZZVRd_WeU&start_radio=1
04-romanticism,gallery,Debussy,La Mer I: From Dawn to Noon on the Sea,First 4 minutes,https://www.youtube.com/watch?v=IoENgt1h4_A&list=RDIoENgt1h4_A&start_radio=1
04-romanticism,gallery,Schubert,Der Erlkönig,Full piece (4 min),https://www.youtube.com/watch?v=XoBo8dlPcQo&list=RDXoBo8dlPcQo&start_radio=1
05-modernism,featured-1,Stravinsky,The Rite of Spring: Augurs of Spring,From about 3:00 to 6:00,https://www.youtube.com/watch?v=dcwB67IoefA&list=RDdcwB67IoefA&start_radio=1
05-modernism,featured-2,Duke Ellington,Black Brown and Beige: Black section,First 5–6 minutes,https://www.youtube.com/watch?v=8HZ4jiiOQmc&list=RD8HZ4jiiOQmc&start_radio=1
05-modernism,gallery,Schoenberg,Pierrot Lunaire No. 8: Nacht,Full piece (2 min),https://www.youtube.com/watch?v=1gafF5sbnB0
05-modernism,gallery,Stravinsky,The Rite of Spring: Introduction to Part I,First 4 minutes,https://www.youtube.com/watch?v=02tkp6eeh40&list=RD02tkp6eeh40&start_radio=1
